town,2012,2016,town,diff,winner,winner2016,winner2012,flip,percent2016,percent2012,Clinton,Trump
Hartford,65.14,60.5,Hartford,-4.64,Clinton,Clinton,Obama,Clinton retained,46.86,55.08,896,891
Bridgeport,52.22,59.32,Bridgeport,7.1,Clinton,Trump,Obama,Flipped to Trump,48.38,61.33,3532,3621
New Britain,63.09,75.84,NewBritain,12.75,Clinton,Clinton,Obama,Clinton retained,47.68,61.25,1112,1042
Windham,56.88,83.9,Windham,27.02,Clinton,Clinton,Romney,Flipped to Clinton,53.4,52.9,5616,4382
Waterbury,56.21,56.94,Waterbury,0.73,Clinton,Trump,Romney,Trump retained,52.59,49.07,905,1157
New London,58.72,57.5,NewLondon,-1.22,Clinton,Trump,Romney,Trump retained,60.08,54,1146,2002
East Hartford,65.53,70.01,EastHartford,4.48,Clinton,Trump,Obama,Flipped to Trump,53.53,50.06,4913,6210
Meriden,63.94,70.56,Meriden,6.62,Clinton,Trump,Obama,Flipped to Trump,48.7,50.63,1580,1646
Stamford,71.6,79.86,Stamford,8.26,Clinton,Clinton,Obama,Clinton retained,48.84,51.18,4777,4575
New Haven,62.48,52.99,NewHaven,-9.49,Clinton,Trump,Romney,Trump retained,60.64,58.3,801,1405
Derby,71.42,85.58,Derby,14.16,Trump,Trump,Romney,Trump retained,47.83,49.26,9637,1683
Ansonia,66.04,85.1,Ansonia,19.06,Trump,Trump,Obama,Flipped to Trump,54.96,50.31,1385,1436
Norwalk,75.01,79.27,Norwalk,4.26,Clinton,Clinton,Obama,Clinton retained,54.17,58.2,536,764
West Haven,69.83,79.59,WestHaven,9.76,Clinton,Trump,Romney,Trump retained,50.04,54.51,8452,6585
Manchester,78.25,85.6,Manchester,7.35,Clinton,Trump,Obama,Flipped to Trump,48.26,57.91,32035,6596
Stratford,71.26,74.78,Stratford,3.52,Clinton,Trump,Romney,Trump retained,53.57,55.11,518,571
Norwich,61.94,76.76,Norwich,14.82,Clinton,Trump,Obama,Flipped to Trump,55.16,51.55,12476,12739
Greenwich,81.93,78.2,Greenwich,-3.73,Clinton,Trump,Romney,Trump retained,51.49,52.63,4216,4973
Bristol,69.93,78.47,Bristol,8.54,Trump,Clinton,Obama,Clinton retained,60.2,63.37,1462,2052
East Haven,70.97,77.95,EastHaven,6.98,Trump,Trump,Romney,Trump retained,59.33,50.88,2352,2773
Wethersfield,76.98,85.29,Wethersfield,8.31,Clinton,Clinton,Obama,Clinton retained,51.65,51.23,357,203
Hamden,71.97,87.25,Hamden,15.28,Clinton,Trump,Obama,Flipped to Trump,54.21,54.38,932,1609
Groton,68.84,87.51,Groton,18.67,Clinton,Clinton,Obama,Clinton retained,48.63,49.66,3100,2601
Naugatuck,65.57,71.98,Naugatuck,6.41,Trump,Clinton,Obama,Clinton retained,60.05,65.43,434,624
West Hartford,80.81,78.77,WestHartford,-2.04,Clinton,Clinton,Obama,Clinton retained,48.57,54.72,7571,7105
Wallingford,81.93,87.68,Wallingford,5.75,Trump,Trump,Obama,Flipped to Trump,47.12,52.56,1365,781
Middletown,89.87,84.44,Middletown,-5.43,Clinton,Trump,Romney,Trump retained,57.58,53.97,3493,3415
Seymour,74.74,80.29,Seymour,5.55,Trump,Clinton,Obama,Clinton retained,47.39,55.74,3898,4108
Winchester,67.27,87.78,Winchester,20.51,Trump,Clinton,Obama,Clinton retained,67.39,71.23,324,528
Torrington,72.63,76.05,Torrington,3.42,Trump,Clinton,Obama,Clinton retained,50.09,55.29,1558,1500
Brooklyn,67.97,71.54,Brooklyn,3.57,Trump,Clinton,Romney,Flipped to Clinton,52.76,65.39,622,248
Newington,76.42,84.31,Newington,7.89,Clinton,Clinton,Obama,Clinton retained,54.18,60.79,3067,3257
Enfield,68.95,83.41,Enfield,14.46,Trump,Trump,Obama,Flipped to Trump,51.48,55.08,3808,3486
Windsor,77.24,76.9,Windsor,-0.34,Clinton,Trump,Romney,Trump retained,50.84,49.67,0,0
Newtown,84.18,84.26,Newtown,0.08,Trump,Clinton,Romney,Flipped to Clinton,47.08,50.31,5942,4625
Trumbull,76.94,77.72,Trumbull,0.78,Trump,Trump,Obama,Flipped to Trump,48.89,53,1412,1077
Washington,88.35,81.43,Washington,-6.92,Clinton,Trump,Obama,Flipped to Trump,50.35,52.08,2332,2651
Montville,73.97,84.56,Montville,10.59,Trump,Clinton,Obama,Clinton retained,69.34,75.04,1886,2147
New Fairfield,74.25,75,NewFairfield,0.75,Trump,Trump,Obama,Flipped to Trump,54.4,57.8,1389,1371
Vernon,79.62,87.77,Vernon,8.15,Clinton,Clinton,Obama,Clinton retained,53.98,57.64,2331,2487
Plainville,73.55,78.35,Plainville,4.8,Trump,Trump,Romney,Trump retained,53.33,49.1,3210,3648
East Lyme,76.44,85.69,EastLyme,9.25,Clinton,Clinton,Romney,Flipped to Clinton,48.63,55.79,13272,5220
Bethel,79.71,81.28,Bethel,1.57,Clinton,Trump,Romney,Trump retained,51.19,51.2,5425,6867
Cheshire,78.65,84.43,Cheshire,5.78,Clinton,Trump,Obama,Flipped to Trump,48.96,55.92,5512,4214
Rocky Hill,79.03,83.08,RockyHill,4.05,Clinton,Clinton,Obama,Clinton retained,55.99,56.1,2507,2661
Mansfield,75.73,85.3,Mansfield,9.57,Clinton,Clinton,Obama,Clinton retained,57.23,51.05,367,513
Waterford,75.14,80.17,Waterford,5.03,Clinton,Clinton,Obama,Clinton retained,53.37,50.89,2203,2131
Clinton,69.31,76.91,Clinton,7.6,Clinton,Trump,Obama,Flipped to Trump,55.88,49.19,0,0
Beacon Falls,74.86,78.55,BeaconFalls,3.69,Trump,Clinton,Obama,Clinton retained,56.19,52.88,8646,9231
East Windsor,67.38,70.06,EastWindsor,2.68,Trump,Trump,Romney,Trump retained,58.32,56.91,2291,1620
New Milford,70.48,81.5,NewMilford,11.02,Trump,Clinton,Romney,Flipped to Clinton,47.84,50.5,17859,12024
Ledyard,77.14,87.72,Ledyard,10.58,Trump,Clinton,Romney,Flipped to Clinton,56.89,55.24,7634,5977
Somers,77.3,98.1,Somers,20.8,Trump,Trump,Obama,Flipped to Trump,57.08,53.26,413,613
Suffield,83.49,86.43,Suffield,2.94,Trump,Clinton,Obama,Clinton retained,55.07,60.04,11049,7531
Wolcott,74.65,78.03,Wolcott,3.38,Trump,Clinton,Obama,Clinton retained,59.03,58.39,673,1064
Canton,81.48,80.42,Canton,-1.06,Clinton,Trump,Obama,Flipped to Trump,51.52,50.5,3114,2967
Willington,76.71,86.51,Willington,9.8,Clinton,Clinton,Obama,Clinton retained,68.47,71.3,16253,11096
East Hampton,78.76,84.98,EastHampton,6.22,Trump,Trump,Obama,Flipped to Trump,48.06,58.41,1934,3011
Cromwell,78.19,76.62,Cromwell,-1.57,Clinton,Clinton,Obama,Clinton retained,90.25,93.24,8439,5929
South Windsor,83.99,85.98,SouthWindsor,1.99,Clinton,Trump,Romney,Trump retained,64.94,64.56,7864,4929
Easton,79.57,81.99,Easton,2.42,Clinton,Trump,Romney,Trump retained,62.16,59.31,2141,2556
Shelton,76.72,82.44,Shelton,5.72,Trump,Clinton,Obama,Clinton retained,47.89,50.67,18962,7790
Milford,75.9,79.52,Milford,3.62,Clinton,Clinton,Obama,Clinton retained,63,63.31,484,509
Branford,77.55,79.46,Branford,1.91,Clinton,Trump,Obama,Flipped to Trump,56.85,53.96,30314,2529
Chaplin,78.17,81.58,Chaplin,3.41,Trump,Trump,Obama,Flipped to Trump,48.39,50.34,349,804
Bloomfield,77.08,85.78,Bloomfield,8.7,Clinton,Trump,Obama,Flipped to Trump,53.57,52.14,1131,2107
Ridgefield,89.42,80.03,Ridgefield,-9.39,Clinton,Trump,Obama,Flipped to Trump,53.87,54.88,2627,2555
Fairfield,78.97,79.36,Fairfield,0.39,Clinton,Trump,Romney,Trump retained,50.59,51.9,1081,559
Westbrook,81.3,83.57,Westbrook,2.27,Trump,Clinton,Obama,Clinton retained,60.26,58.11,2491,3916
Simsbury,83.73,79.6,Simsbury,-4.13,Clinton,Clinton,Obama,Clinton retained,54.38,50.25,1895,1943
Monroe,78.75,87.19,Monroe,8.44,Trump,Clinton,Obama,Clinton retained,72.51,74.13,1583,2115
Watertown,73.5,78.19,Watertown,4.69,Trump,Trump,Obama,Flipped to Trump,48.53,51.04,3336,3471
Bridgewater,94.75,85.77,Bridgewater,-8.98,Trump,Trump,Romney,Trump retained,58.51,62.17,868,1175
Orange,76.87,78.82,Orange,1.95,Trump,Trump,Obama,Flipped to Trump,51.63,52.54,2131,2426
Scotland,75.49,76.75,Scotland,1.26,Trump,Clinton,Obama,Clinton retained,61,68.41,1019,567
Westport,81.7,86.48,Westport,4.78,Clinton,Clinton,Obama,Clinton retained,48.29,53.65,5935,4500
Tolland,82.97,86.09,Tolland,3.12,Clinton,Trump,Romney,Trump retained,54.29,55.7,15132,8358
Oxford,75.48,84.87,Oxford,9.39,Trump,Trump,Obama,Flipped to Trump,52.13,55.52,8309,2433
Bolton,86.2,89.04,Bolton,2.84,Trump,Trump,Romney,Trump retained,59.1,57.14,1687,1766
Killingly,65.36,71.03,Killingly,5.67,Trump,Trump,Obama,Flipped to Trump,55.45,49.7,12788,8661
Plymouth,69.67,74.41,Plymouth,4.74,Trump,Clinton,Obama,Clinton retained,69.26,76.32,1664,2630
Woodbury,74.84,81,Woodbury,6.16,Trump,Clinton,Romney,Flipped to Clinton,52.2,64.13,1154,1361
Brookfield,83.12,86.39,Brookfield,3.27,Trump,Trump,Romney,Trump retained,54.57,52.98,12959,7126
Windsor Locks,77.27,80.66,WindsorLocks,3.39,Trump,Clinton,Obama,Clinton retained,84.33,89.3,13596,13386
Hampton,82.42,86.29,Hampton,3.87,Trump,Clinton,Obama,Clinton retained,72.58,78.94,4520,5922
New Canaan,82.61,79.39,NewCanaan,-3.22,Clinton,Clinton,Obama,Clinton retained,53.65,59.65,3340,4156
Southbury,80.03,82.25,Southbury,2.22,Trump,Clinton,Obama,Clinton retained,35.5,58.96,510,838
Griswold,72.1,75.21,Griswold,3.11,Trump,Trump,Obama,Flipped to Trump,58.44,50.13,5219,7310
Bozrah,75.5,79.06,Bozrah,3.56,Trump,Clinton,Obama,Clinton retained,48.51,55.29,15433,6046
Marlborough,80.39,84.11,Marlborough,3.72,Trump,Trump,Obama,Flipped to Trump,53.68,51,5767,4541
Guilford,80.4,88.36,Guilford,7.96,Clinton,Trump,Obama,Flipped to Trump,51.49,50.79,3072,4304
Union,83.28,84.5,Union,1.22,Trump,Clinton,Obama,Clinton retained,63.82,63.01,1654,2243
Glastonbury,85.2,86.24,Glastonbury,1.04,Clinton,Clinton,Obama,Clinton retained,55.31,66.09,34577,4483
Coventry,81.32,85.91,Coventry,4.59,Trump,Clinton,Obama,Clinton retained,52.98,56.15,6305,1924
Salisbury,74.67,83.02,Salisbury,8.35,Clinton,Clinton,Obama,Clinton retained,51.52,52.42,6136,6863
North Haven,79.06,83.81,NorthHaven,4.75,Trump,Trump,Romney,Trump retained,50.45,53.18,8425,6557
Stonington,77.79,76.43,Stonington,-1.36,Clinton,Trump,Romney,Trump retained,63.8,59.19,7435,26205
Weston,81.28,84.12,Weston,2.84,Clinton,Trump,Obama,Flipped to Trump,57.39,54.26,518,373
Plainfield,60.62,66.03,Plainfield,5.41,Trump,Trump,Obama,Flipped to Trump,51.73,57.04,2933,4473
East Granby,81.5,81,EastGranby,-0.5,Clinton,Trump,Romney,Trump retained,64.84,50.69,732,703
