Town,Romney,Obama,Anderson,Johnson
Andover,774,976,9,13
Ansonia,2596,4273,41,57
Ashford,803,1331,13,26
Avon,5542,4830,24,81
Barkhamsted,1033,1033,8,31
Beacon Falls,1598,1300,22,39
Berlin,5361,5499,44,80
Bethany,1536,1615,14,25
Bethel,4445,4777,37,74
Bethlehem,1272,894,7,9
Bloomfield,1925,9921,12,37
Bolton,1434,1433,16,28
Bozrah,606,648,9,25
Branford,5817,8301,54,90
Bridgeport,5168,32135,70,103
Bridgewater,580,472,4,8
Bristol,10004,14146,87,192
Brookfield,4941,3916,30,78
Brooklyn,1570,1743,24,44
Burlington,2683,2357,12,46
Canaan,210,384,4,8
Canterbury,1294,1197,13,39
Canton,2742,2967,21,61
Chaplin,466,584,14,10
Cheshire,7311,7397,45,141
Chester,707,1380,6,16
Clinton,2926,3607,23,36
Colchester,3579,4125,42,102
Colebrook,462,380,2,12
Columbia,1319,1715,9,34
Cornwall,250,629,1,3
Coventry,2621,3538,38,88
Cromwell,3193,4063,24,68
Danbury,10590,15290,85,196
Darien,7175,3777,11,10
Deep River,932,1479,8,14
Derby,1993,2509,22,31
Durham,2043,2013,22,35
East Granby,1448,1389,11,30
East Haddam,2109,2471,32,50
East Hampton,3138,3509,27,64
East Hartford,4556,14149,47,103
East Haven,4650,6533,42,77
East Lyme,3886,5426,32,69
East Windsor,2112,2857,20,37
Eastford,465,464,8,10
Easton,2380,1841,8,37
Ellington,3894,3598,33,81
Enfield,7709,10152,111,184
Essex,1701,2230,15,29
Fairfield,14357,15283,77,223
Farmington,6611,7013,40,118
Franklin,516,519,7,13
Glastonbury,8809,10135,50,172
Goshen,1017,751,5,14
Granby,3221,3079,25,53
Greenwich,16456,13079,56,199
Griswold,2166,2581,41,58
Groton,5367,8384,71,142
Guilford,5170,7411,26,86
Haddam,2230,2346,22,48
Hamden,7482,19181,77,160
Hampton,413,601,7,8
Hartford,2138,31735,71,93
Hartland,778,414,0,13
Harwinton,1924,1260,16,44
Hebron,2471,2606,14,52
Kent,606,1080,6,14
Killingly,2663,3259,31,87
Killingworth,1840,1921,16,39
Lebanon,1608,1812,19,36
Ledyard,3209,3564,46,81
Lisbon,890,1125,11,24
Litchfield,2408,2156,19,57
Lyme,593,856,4,20
Madison,5193,5293,18,29
Manchester,7961,15565,94,249
Mansfield,2193,6941,55,174
Marlborough,1668,1791,16,34
Meriden,6880,14886,91,149
Middlebury,2666,1586,9,27
Middlefield,1168,1334,14,23
Middletown,6105,13834,78,206
Milford,11462,13668,91,256
Monroe,5757,4446,33,99
Montville,3115,4014,38,63
Morris,740,535,7,13
Naugatuck,5807,5923,57,131
New Britain,4783,16052,67,130
New Canaan,6966,3804,17,75
New Fairfield,4288,3323,29,59
New Hartford,2056,1759,19,47
New Haven,4430,39865,119,229
New London,1654,6710,43,93
New Millford,6330,6640,60,130
Newington,5752,8792,57,138
Newtown,7451,6784,41,122
Norfolk,378,556,4,5
North Branford,3385,3477,21,53
North Canaan,552,706,9,10
North Haven,5990,6376,36,100
North Stonington,1279,1383,20,41
Norwalk,12773,22369,105,252
Norwich,4144,8541,70,168
Old Lyme,1958,2561,9,33
Old Saybrook,2753,3101,17,45
Orange,4209,3623,22,60
Oxford,3906,2599,30,64
Plainfield,2378,2957,36,79
Plainville,3318,4540,36,66
Plymouth,2713,2553,26,60
Pomfret,1012,1103,11,23
Portland,2141,2664,24,46
Preston,1186,1165,14,28
Prospect,3235,1839,26,49
Putnam,1507,1839,18,57
Redding,2503,2787,13,48
Ridgefield,7360,6461,25,109
Rocky Hill,4030,5173,26,80
Roxbury,706,758,3,10
Salem,996,1098,12,32
Salisbury,659,1552,8,24
Scotland,415,408,3,9
Seymour,3630,3447,0,0
Sharon,519,902,7,12
Shelton,10327,8362,57,158
Sherman,1049,1020,7,20
Simsbury,6710,6853,39,140
Somers,2837,2055,16,38
South Windsor,5775,7708,50,127
Southbury,6134,4936,34,89
Southington,10452,10727,89,194
Sprague,655,724,8,12
Stafford,2491,3018,39,76
Stamford,17473,29623,119,314
Sterling,711,655,14,19
Stonington,3929,5725,35,95
Stratford,9324,13483,93,134
Suffield,3863,3332,20,56
Thomaston,2144,1556,15,49
Thompson,1993,1977,23,57
Tolland,3840,4135,38,73
Torrington,7320,6843,78,178
Trumbull,9986,8703,60,120
Union,250,257,3,6
Vernon,5085,7556,60,131
Voluntown,600,610,10,18
Wallingford,9259,11560,75,190
Warren,407,404,4,12
Washington,824,1237,6,15
Waterbury,11043,20931,110,156
Waterford,4183,5573,54,91
Watertown,6644,4181,59,76
West Hartford,10511,21069,95,253
West Haven,5789,14286,92,111
Westbrook,1605,1903,11,34
Weston,2536,2947,7,42
Westport,6439,8495,24,90
Wethersfield,6015,7753,42,126
Willington,1241,1538,15,36
Wilton,5424,4589,20,82
Winchester,2389,2201,36,54
Windham,1944,5818,27,86
Windsor,4305,11463,56,116
Windsor Locks,2456,3178,25,67
Wolcott,5077,3139,24,58
Woodbridge,2109,3018,9,33
Woodbury,3058,2434,10,52
Woodstock,2134,2021,25,42
Total,634892,905083,5487,12580
,,,,
