Tract,Winner,Pct,Num,Tract2
Andover,Obama,55.08,1,Andover
Ansonia,Obama,61.33,1,Ansonia
Ashford,Obama,61.25,1,Ashford
Avon,Romney,52.90,2,Avon
Barkhamsted,Obama,49.07,1,Barkhamsted
Beacon Falls,Romney,54.00,2,BeaconFalls
Berlin,Obama,50.06,1,Berlin
Bethany,Obama,50.63,1,Bethany
Bethel,Obama,51.18,1,Bethel
Bethlehem,Romney,58.30,2,Bethlehem
Bloomfield,Obama,83.40,1,Bloomfield
Bolton,Romney,49.26,2,Bolton
Bozrah,Obama,50.31,1,Bozrah
Branford,Obama,58.20,1,Branford
Bridgeport,Obama,85.75,1,Bridgeport
Bridgewater,Romney,54.51,2,Bridgewater
Bristol,Obama,57.91,1,Bristol
Brookfield,Romney,55.11,2,Brookfield
Brooklyn,Obama,51.55,1,Brooklyn
Burlington,Romney,52.63,2,Burlington
Canaan,Obama,63.37,1,Canaan
Canterbury,Romney,50.88,2,Canterbury
Canton,Obama,51.23,1,Canton
Chaplin,Obama,54.38,1,Chaplin
Cheshire,Obama,49.66,1,Cheshire
Chester,Obama,65.43,1,Chester
Clinton,Obama,54.72,1,Clinton
Colchester,Obama,52.56,1,Colchester
Colebrook,Romney,53.97,2,Colebrook
Columbia,Obama,55.74,1,Columbia
Cornwall,Obama,71.23,1,Cornwall
Coventry,Obama,56.29,1,Coventry
Cromwell,Obama,55.29,1,Cromwell
Danbury,Obama,58.45,1,Danbury
Darien,Romney,65.39,2,Darien
Deep River,Obama,60.79,1,DeepRiver
Derby,Obama,55.08,1,Derby
Durham,Romney,49.67,2,Durham
East Granby,Romney,50.31,2,EastGranby
East Haddam,Obama,53.00,1,EastHaddam
East Hampton,Obama,52.08,1,EastHampton
East Hartford,Obama,75.04,1,EastHartford
East Haven,Obama,57.80,1,EastHaven
East Lyme,Obama,57.64,1,EastLyme
East Windsor,Obama,56.84,1,EastWindsor
Eastford,Romney,49.10,2,Eastford
Easton,Romney,55.79,2,Easton
Ellington,Romney,51.20,2,Ellington
Enfield,Obama,55.92,1,Enfield
Essex,Obama,56.10,1,Essex
Fairfield,Obama,51.05,1,Fairfield
Farmington,Obama,50.89,1,Farmington
Franklin,Obama,49.19,1,Franklin
Glastonbury,Obama,52.88,1,Glastonbury
Goshen,Romney,56.91,2,Goshen
Granby,Romney,50.50,2,Granby
Greenwich,Romney,55.24,2,Greenwich
Griswold,Obama,53.26,1,Griswold
Groton,Obama,60.04,1,Groton
Guilford,Obama,58.39,1,Guilford
Haddam,Obama,50.50,1,Haddam
Hamden,Obama,71.30,1,Hamden
Hampton,Obama,58.41,1,Hampton
Hartford,Obama,93.24,1,Hartford
Hartland,Romney,64.56,2,Hartland
Harwinton,Romney,59.31,2,Harwinton
Hebron,Obama,50.67,1,Hebron
Kent,Obama,63.31,1,Kent
Killingly,Obama,53.96,1,Killingly
Killingworth,Obama,50.34,1,Killingworth
Lebanon,Obama,52.14,1,Lebanon
Ledyard,Obama,51.65,1,Ledyard
Lisbon,Obama,54.88,1,Lisbon
Litchfield,Romney,51.90,2,Litchfield
Lyme,Obama,58.11,1,Lyme
Madison,Obama,50.25,1,Madison
Manchester,Obama,65.21,1,Manchester
Mansfield,Obama,74.13,1,Mansfield
Marlborough,Obama,51.04,1,Marlborough
Meriden,Obama,67.65,1,Meriden
Middlebury,Romney,62.17,2,Middlebury
