row,polling_place,poll_id,polling_place,id,precinct,Location,details
762,New London-3-Nathan Hale School,479,New London,3,,Nathan Hale School,
761,New London-2-Harbor School,478,New London,2,,Harbor School,
760,Newington-7-Martin Kellogg Middle School---District---7,475,Newington,7,,Martin Kellogg Middle School,
759,Newington-5-John Wallace Middle School---District---5,474,Newington,5,,John Wallace Middle School,
758,Newington-1-Town Hall---District---1,477,Newington,1,,Town Hall,
757,Newington-2-Ruth L. Chaffee School---District---2,476,Newington,2,,Ruth L. Chaffee School,
756,Newington-4-Elizabeth Green School---District---4,471,Newington,4,,Elizabeth Green School,
755,Newington-3-Anna Reynolds School ---District---3,470,Newington,3,,Anna Reynolds School,
754,Newington-8-John Wallace Middle School-- District--8,473,Newington,8,,John Wallace Middle School,
753,Newington-6-John Paterson School---District---6,472,Newington,6,,John Paterson School,
752,New London-1-New London High School,480,New London,1,,New London High School,
751,New Millford-2-Catherine E Lillis Building,481,New Millford,2,,Catherine E Lillis Building,
750,New Millford-4-Gaylordsville Fire House,482,New Millford,4,,Gaylordsville Fire House,
749,New Millford-6-Hill & Plain School,483,New Millford,6,,Hill & Plain School,
748,New Millford-1-Northville School,484,New Millford,1,,Northville School,
747,New Millford-3-Odd Fellows Lodge,485,New Millford,3,,Odd Fellows Lodge,
746,New Millford-7-Sarah Noble Intermediate School,486,New Millford,7,,Sarah Noble Intermediate School,
745,New Millford-5-Schaghticoke School,487,New Millford,5,,Schaghticoke School,
744,Newtown-3-1-Head O Meadow School Cafetorium,488,Newtown,3,1,Head O Meadow School Cafetorium,
743,Newtown-3-5-Head O Meadow School Cafetorium,489,Newtown,3,5,Head O Meadow School Cafetorium,
742,New Haven-4-2-Truman School 02,460,New Haven,4,2,Truman School 02,
741,Stratford-40-13-Franklin School 121 23,639,Stratford,40,13,Franklin School 121 23,
740,Ansonia-4-Ward 4 Ansonia Middle School,5,Ansonia,4,,Ward 4 Ansonia Middle School,
739,Branford-7-Walsh Intermediate School,41,Branford,7,,Walsh Intermediate School,
738,Branford-2-St. Therese Church Hall,40,Branford,2,,St. Therese Church Hall,
737,Bridgeport-130-1-Bassick High School,43,Bridgeport,130,1,Bassick High School,
736,Bridgeport-130-5-Barnum School,42,Bridgeport,130,5,Barnum School,
735,Greenwich-7-EDR Districts 7-12 149,952,Greenwich,7,,EDR Districts 7,12 149
734,Bridgeport-130-2-Bassick High School,44,Bridgeport,130,2,Bassick High School,
733,Bridgeport-126-1-Beardsley School,47,Bridgeport,126,1,Beardsley School,
732,Greenwich-1-EDR Districts 1-6A 151,951,Greenwich,1,,EDR Districts 1,6A 151
731,Bridgeport-127-1-Blackham School,49,Bridgeport,127,1,Blackham School,
730,Bridgeport-129-1-Black Rock School,48,Bridgeport,129,1,Black Rock School,
729,New Britain-10-St. Francis Of Assisi Church Hall,398,New Britain,10,,St. Francis Of Assisi Church Hall,
728,West Hartford-7-Sedgwick Middle School,958,West Hartford,7,,Sedgwick Middle School,
727,West Hartford-8-Braeburn School,959,West Hartford,8,,Braeburn School,
726,Stamford-22-2-Long Ridge Church,609,Stamford,22,2,Long Ridge Church,
725,East Lyme-2-East Lyme Community Center,158,East Lyme,2,,East Lyme Community Center,
724,East Lyme-3-East Lyme Community Center,159,East Lyme,3,,East Lyme Community Center,
723,East Haven-1-Tuttle School 1,156,East Haven,1,,Tuttle School 1,
722,East Haven-5-3-Woodview 5-S,157,East Haven,5,3,Woodview 5,
721,East Haven-2-Momauguin School 2,154,East Haven,2,,Momauguin School 2,
720,East Haven-4-Overbrook School 4,155,East Haven,4,,Overbrook School 4,
719,East Haven-1-3-East Farm Village 1-S,152,East Haven,1,3,East Farm Village 1,
718,Stamford-4-Julia A Stark School,607,Stamford,4,,Julia A Stark School,
717,East Haven-3-Deer Run School 3,150,East Haven,3,,Deer Run School 3,
716,East Haven-3-3-Deer Run School 3-S,151,East Haven,3,3,Deer Run School 3,
715,Westbrook-1-Theresa Mulvey Municipal Center - 1,721,Westbrook,1,,Theresa Mulvey Municipal Center,1
714,Watertown-3-Swift Middle School,720,Watertown,3,,Swift Middle School,
713,Westbrook-2-Theresa Mulvey Municipal Center - 2,722,Westbrook,2,,Theresa Mulvey Municipal Center,2
712,New Britain-11-Holmes Elementary School,390,New Britain,11,,Holmes Elementary School,
711,West Hartford-9-Hall High School,727,West Hartford,9,,Hall High School,
710,West Hartford-4-Elmwood Community Center,726,West Hartford,4,,Elmwood Community Center,
709,New Britain-2-New Britain High School,391,New Britain,2,,New Britain High School,
708,Greenwich-12-North Mianus School,220,Greenwich,12,,North Mianus School,
707,Greenwich-11-North Street School,221,Greenwich,11,,North Street School,
706,Greenwich-11-1-North Street School 11a,222,Greenwich,11,1,North Street School 11a,
705,Greenwich-6-Old Greenwich School,223,Greenwich,6,,Old Greenwich School,
704,Greenwich-6-1-Old Greenwich School 6a,224,Greenwich,6,1,Old Greenwich School 6a,
703,Greenwich-5-Riverside School,225,Greenwich,5,,Riverside School,
702,Greenwich-5-1-Riverside School 5a,226,Greenwich,5,1,Riverside School 5a,
701,Greenwich-3-Western Middle School,227,Greenwich,3,,Western Middle School,
700,West Haven-9-Seth Haley School,738,West Haven,9,,Seth Haley School,
699,Griswold-1-Griswold Town Hall,229,Griswold,1,,Griswold Town Hall,
698,West Haven-4-St Paul's Church Hall,739,West Haven,4,,St Paul's Church Hall,
697,Shelton-3-Long Hill School,567,Shelton,3,,Long Hill School,
696,Shelton-1-Elizabeth Shelton School,566,Shelton,1,,Elizabeth Shelton School,
695,Sharon-1-Sharon Town Hall,565,Sharon,1,,Sharon Town Hall,
694,Seymour-3-District 3 Chatfield-Lopresti School,564,Seymour,3,,District 3 Chatfield,Lopresti School
693,Seymour-2-District 2 Seymour Middle School,563,Seymour,2,,District 2 Seymour Middle School,
692,Seymour-1-District 1 Community Center,562,Seymour,1,,District 1 Community Center,
691,Scotland-1-Firehouse/community Center,561,Scotland,1,,Firehouse/community Center,
690,Salisbury-1-Town Hall,560,Salisbury,1,,Town Hall,
689,Wethersfield-6-Pitkin Community Center,754,Wethersfield,6,,Pitkin Community Center,
688,Wethersfield-4-Webb Elementary School,755,Wethersfield,4,,Webb Elementary School,
687,West Haven-10-Pagels School,737,West Haven,10,,Pagels School,
686,Westport-136-6-Westport Public Library,750,Westport,136,6,Westport Public Library,
685,Wethersfield-5-Emerson Williams School,751,Wethersfield,5,,Emerson Williams School,
684,Shelton-2-Shelton Intermediate School,569,Shelton,2,,Shelton Intermediate School,
683,Shelton-4-Mohegan School,568,Shelton,4,,Mohegan School,
682,West Hartford-1-King Philip Middle School,954,West Hartford,1,,King Philip Middle School,
681,Stratford-20-13-Stratford High School 121-21,849,Stratford,20,13,Stratford High School 121,
680,Stratford-20-13-Stratford High School 121 23,841,Stratford,20,13,Stratford High School 121 23,
679,Bridgeport-129-2-Madison School,842,Bridgeport,129,2,Madison School,
678,Bridgeport-129-3-Madison School,845,Bridgeport,129,3,Madison School,
677,Enfield-158-J F K Middle School,847,Enfield,158,,J F K Middle School,
676,Windsor-4-Windsor Town Hall,776,Windsor,4,,Windsor Town Hall,
675,Lisbon-1-Lisbon Town Hall,304,Lisbon,1,,Lisbon Town Hall,
674,Lisbon-2-Lisbon Senior Center,303,Lisbon,2,,Lisbon Senior Center,
673,Ledyard-1-Ledyard Center School,302,Ledyard,1,,Ledyard Center School,
672,Ledyard-3-Juliet Long School,301,Ledyard,3,,Juliet Long School,
671,Ledyard-2-Juliet Long School,300,Ledyard,2,,Juliet Long School,
670,New Haven-25-Edgewood School,426,New Haven,25,,Edgewood School,
669,New Haven-24-Firehouse Ellsworth,427,New Haven,24,,Firehouse Ellsworth,
668,New Haven-8-1-Conte-West Schools 8-01,424,New Haven,8,1,Conte,
667,New Haven-11-3-Eastview Terrace,425,New Haven,11,3,Eastview Terrace,
666,New Haven-8-2-Conte-West Hills School 02,423,New Haven,8,2,Conte,
665,New Haven-30-1-Clarence Rogers School 01,421,New Haven,30,1,Clarence Rogers School 01,
664,New Haven-5-Firehouse Howard 01,428,New Haven,5,,Firehouse Howard 01,
663,Windsor-1-L. P. Wilson,772,Windsor,1,,L. P. Wilson,
662,Windsor-3-330 Windsor Avenue,770,Windsor,3,,330 Windsor Avenue,
661,Danbury-3-7-Stadley Rough School,118,Danbury,3,7,Stadley Rough School,
660,Danbury-3-9-Stadley Rough School,119,Danbury,3,9,Stadley Rough School,
659,Windsor-2-John F Kennedy School,771,Windsor,2,,John F Kennedy School,
658,Danbury-6-38-Park Avenue School Gym,112,Danbury,6,38,Park Avenue School Gym,
657,Danbury-2-8-Pembroke School Gym,113,Danbury,2,8,Pembroke School Gym,
656,Danbury-6-2-Park Avenue School Gym,110,Danbury,6,2,Park Avenue School Gym,
655,Danbury-6-10-Park Avenue School Gym,111,Danbury,6,10,Park Avenue School Gym,
654,Danbury-4-9-Shelter Rock School Gym,116,Danbury,4,9,Shelter Rock School Gym,
653,Danbury-4-10-Shelter Rock School Gym,117,Danbury,4,10,Shelter Rock School Gym,
652,Danbury-2-9-Pembroke School Gym,114,Danbury,2,9,Pembroke School Gym,
651,Danbury-2-38-Pembroke School Gym,115,Danbury,2,38,Pembroke School Gym,
650,Windsor-6-Poquonock School,774,Windsor,6,,Poquonock School,
649,Windsor-7-Rainbow Firehouse,775,Windsor,7,,Rainbow Firehouse,
648,Plainville-4-Wheeler School,538,Plainville,4,,Wheeler School,
647,Plymouth-1-H S Fisher School,539,Plymouth,1,,H S Fisher School,
646,Plainfield-1-1 Town Hall,530,Plainfield,1,,1 Town Hall,
645,Plainfield-1-1-1a Town Hall,531,Plainfield,1,1,1a Town Hall,
644,Plainfield-2-2 Central Village Fire Station,532,Plainfield,2,,2 Central Village Fire Station,
643,Plainfield-3-3 Moosup Fire Station,533,Plainfield,3,,3 Moosup Fire Station,
