Town,population,housing,totalarea,waterarea,landarea,population.persqmi,housing.persqmi
Andover,3303,1317,15.69,0.25,15.45,213.8,85.3
Ansonia,19249,8148,6.19,0.17,6.02,3198.1,1353.7
Ashford,4317,1903,39.47,0.71,38.76,111.4,49.1
Avon,18098,7389,23.59,0.44,23.15,781.6,319.1
Barkhamsted,3799,1589,38.83,2.58,36.25,104.8,43.8
Beacon Falls,6049,2509,9.78,0.12,9.67,625.7,259.5
Berlin,19866,8140,26.99,0.66,26.32,754.7,309.2
Bethany,5563,2044,21.51,0.38,21.13,263.3,96.7
Bethel,18584,7310,16.93,0.04,16.89,1100.4,432.8
Bethlehem,3607,1575,19.66,0.29,19.38,186.2,81.3
Bloomfield,20486,9019,26.25,0.17,26.09,785.3,345.7
Bolton,4980,2015,14.7,0.3,14.41,345.7,139.9
Bozrah,2627,1059,20.24,0.28,19.96,131.6,53.0
Branford,28026,13972,27.99,6.16,21.83,1283.6,639.9
Bridgeport,144229,57012,19.34,3.37,15.97,9029.0,3569.1
Bridgewater,1727,881,17.31,0.91,16.4,105.3,53.7
Bristol,60477,27011,26.82,0.4,26.41,2289.8,1022.7
Brookfield,16452,6562,20.37,0.6,19.77,832.0,331.9
Brooklyn,8210,3235,29.24,0.15,29.09,282.2,111.2
Burlington,9301,3389,30.41,0.67,29.74,312.7,114.0
Canaan,1234,779,33.24,0.32,32.91,37.5,23.7
Canterbury,5132,2043,40.21,0.26,39.94,128.5,51.1
Canton,10292,4339,25.02,0.44,24.59,418.6,176.5
Chaplin,2305,988,19.56,0.14,19.43,118.6,50.9
Cheshire,29261,10424,33.37,0.3,33.07,884.8,315.2
Chester,3994,1923,16.83,0.78,16.05,248.8,119.8
Clinton,13260,6065,19.02,2.81,16.21,818.2,374.2
Colchester,16068,6182,49.7,0.72,48.98,328.0,126.2
Colebrook,1485,722,32.92,1.39,31.53,47.1,22.9
Columbia,5485,2308,21.99,0.61,21.37,256.6,108.0
Cornwall,1420,1007,46.31,0.25,46.06,30.8,21.9
Coventry,12435,5099,38.24,0.68,37.57,331.0,135.7
Cromwell,14005,6001,12.95,0.5,12.45,1124.6,481.9
Danbury,80893,31154,44.14,2.25,41.89,1931.0,743.7
Darien,20732,7074,23.48,10.82,12.66,1638.2,559.0
Deep River,4629,2096,14.16,0.65,13.51,342.5,155.1
Derby,12902,5849,5.41,0.35,5.06,2552.1,1157.0
Durham,7388,2694,23.81,0.15,23.66,312.3,113.9
Eastford,1749,793,29.27,0.34,28.92,60.5,27.4
East Granby,5148,2152,17.67,0.1,17.56,293.1,122.5
East Haddam,9126,4508,56.58,2.33,54.25,168.2,83.1
East Hampton,12959,5485,36.9,1.25,35.65,363.5,153.9
East Hartford,51252,21328,18.73,0.74,18,2847.9,1185.1
East Haven,29257,12533,13.51,1.2,12.3,2377.7,1018.5
East Lyme,19159,8458,41.99,8,34,563.6,248.8
Easton,7490,2715,28.66,1.24,27.42,273.2,99.0
East Windsor,11162,5045,26.82,0.57,26.25,425.2,192.2
Ellington,15602,6665,34.59,0.53,34.06,458.1,195.7
Enfield,44654,17558,34.22,0.95,33.27,1342.2,527.7
Essex,6683,3261,11.86,1.45,10.4,642.4,313.5
Fairfield,59404,21648,31.38,1.48,29.9,1986.6,723.9
Farmington,25340,11106,28.78,0.76,28.02,904.5,396.4
Franklin,1922,771,19.57,0.08,19.49,98.6,39.6
Glastonbury,34427,13656,52.19,0.92,51.27,671.5,266.4
Goshen,2976,1664,45.19,1.56,43.63,68.2,38.1
Granby,11282,4360,40.81,0.14,40.68,277.3,107.2
Greenwich,61171,25631,67.29,19.67,47.62,1284.5,538.2
Griswold,11951,5118,37.07,2.36,34.71,344.3,147.5
Groton,40115,17978,45.28,14.25,31.03,1292.7,579.4
Guilford,22375,9596,49.73,2.61,47.12,474.9,203.7
Haddam,8346,3504,46.28,2.35,43.94,190.0,79.8
Hamden,60960,25114,33.31,0.67,32.65,1867.3,769.3
Hampton,1863,793,25.5,0.41,25.09,74.2,31.6
Hartford,124775,51822,18.06,0.67,17.38,7178.9,2981.6
Hartland,2114,856,34.6,1.52,33.08,63.9,25.9
Harwinton,5642,2282,31.14,0.35,30.79,183.2,74.1
Hebron,9686,3567,37.29,0.35,36.94,262.2,96.6
Kent,2979,1665,49.61,1.06,48.55,61.4,34.3
Killingly,17370,7592,49.86,1.56,48.31,359.6,157.2
Killingworth,6525,2598,35.78,0.45,35.33,184.7,73.5
Lebanon,7308,3125,55.25,1.15,54.1,135.1,57.8
Ledyard,15051,5987,40,1.78,38.22,393.8,156.6
Lisbon,4338,1730,16.69,0.4,16.29,266.3,106.2
Litchfield,8466,3975,56.81,0.71,56.1,150.9,70.9
Lyme,2406,1223,34.47,2.63,31.84,75.6,38.4
Madison,18269,8049,36.63,0.48,36.15,505.4,222.7
Manchester,58241,25996,27.68,0.28,27.4,2125.4,948.7
Mansfield,26543,6017,45.62,1.02,44.6,595.1,134.9
Marlborough,6404,2389,23.52,0.17,23.35,274.2,102.3
Meriden,60868,25892,24.16,0.36,23.79,2558.2,1088.2
Middlebury,7575,2892,18.45,0.69,17.75,426.7,162.9
Middlefield,4425,1863,13.26,0.61,12.65,349.8,147.3
Middletown,47648,21223,42.36,1.35,41.02,1161.6,517.4
Milford,52759,23074,26.12,3.95,22.18,2379.2,1040.5
Monroe,19479,6918,26.27,0.2,26.07,747.1,265.3
Montville,19571,7407,44.19,2.23,41.95,466.5,176.5
Morris,2388,1314,18.72,1.37,17.35,137.7,75.8
