town,Active,Voted,Percent,Absentee,Absentee_Rejected,Absentee_Votes
Andover,2210,1784,80.72,149,2,147
Ansonia,10166,6714,66.04,592,2,590
Ashford,2878,2143,74.46,170,8,162
Avon,12677,10454,82.46,1443,19,1424
Barkhamsted,2700,2113,78.26,158,0,158
Beacon Falls,3914,2930,74.86,194,7,187
Berlin,13679,11056,80.82,856,15,841
Bethany,3984,3241,81.35,292,9,283
Bethel,11582,9232,79.71,798,18,780
Bethlehem,2837,2335,82.31,215,9,206
Bloomfield,15144,11673,77.08,1557,28,1529
Bolton,3412,2941,86.2,200,2,198
Bozrah,1714,1294,75.5,92,2,90
Branford,18478,14330,77.55,1417,27,1390
Bridgeport,71825,37510,52.22,2968,133,2835
Bridgewater,1256,1190,94.75,123,3,120
Bristol,35138,24571,69.93,1714,26,1688
Brookfield,10682,8879,83.12,864,7,857
Brooklyn,4924,3347,67.97,277,5,272
Burlington,6312,5128,81.24,450,0,450
Canaan,786,625,79.52,95,2,93
Canterbury,3371,2553,75.73,152,2,150
Canton,7079,5768,81.48,585,11,574
Chaplin,1356,1060,78.17,51,1,50
Cheshire,18857,14831,78.65,1473,41,1432
Chester,2542,2074,81.59,256,2,254
Clinton,9434,6539,69.31,552,17,535
Colchester,10070,7860,78.05,598,12,586
Colebrook,1097,862,78.58,63,0,63
Columbia,3644,3079,84.5,225,0,225
Cornwall,1050,877,83.52,128,2,126
Coventry,7815,6355,81.32,383,8,375
Cromwell,9434,7376,78.19,708,4,704
Danbury,35221,27763,78.83,2186,43,2143
Darien,13135,11056,84.17,1579,20,1559
Deep River,3220,2448,76.02,190,1,189
Derby,6610,4721,71.42,371,6,365
Durham,5195,4135,79.6,383,3,380
East Granby,3546,2890,81.5,234,2,232
East Haddam,5871,4634,78.93,355,5,350
East Hampton,8503,6697,78.76,547,14,533
East Hartford,27828,18235,65.53,1524,81,1443
East Haven,15801,11214,70.97,1014,30,984
East Lyme,12223,9343,76.44,1213,10,1203
East Windsor,7524,5070,67.38,441,12,429
Eastford,1201,949,79.02,36,1,35
Easton,5423,4315,79.57,538,11,527
Ellington,9809,7632,77.81,585,25,560
Enfield,26429,18222,68.95,1534,25,1509
Essex,4773,3991,83.62,533,23,510
Fairfield,38090,30081,78.97,3018,58,2960
Farmington,17473,13713,78.48,1469,32,1437
Franklin,1316,1038,78.88,85,0,85
Glastonbury,22603,19258,85.2,2128,53,2075
Goshen,2190,1798,82.1,173,7,166
Granby,7440,6415,86.22,567,1,566
Greenwich,36489,29894,81.93,4197,44,4153
Griswold,6757,4872,72.1,301,6,295
Groton,20716,14261,68.84,1634,41,1593
Guilford,15849,12742,80.4,1368,25,1343
Haddam,6027,4685,77.73,370,12,358
Hamden,34236,24641,71.97,2512,47,2465
Hampton,1257,1036,82.42,59,1,58
Hartford,51357,33452,65.14,3168,215,2953
Hartland,1555,1215,78.14,72,0,72
Harwinton,4067,3262,80.21,260,4,256
Hebron,6582,5172,78.58,374,5,369
Kent,2011,1712,85.13,282,3,279
Killingly,9276,6063,65.36,444,0,444
Killingworth,4452,3800,85.35,361,8,353
Lebanon,4777,3652,76.45,257,5,252
Ledyard,9363,7223,77.14,648,13,635
Lisbon,2638,2053,77.82,135,5,130
Litchfield,6163,4623,75.01,532,5,527
Lyme,1825,1478,80.99,153,6,147
Madison,13623,10632,78.04,1485,27,1458
Manchester,28803,22539,78.25,2670,27,2643
Mansfield,12688,9609,75.73,675,4,671
Marlborough,4320,3473,80.39,302,7,295
Meriden,34525,22074,63.94,1947,0,1947
Middlebury,5368,4304,80.18,449,2,447
Middlefield,3274,2527,77.18,216,1,215
Middletown,24124,21680,89.87,3477,68,3409
Milford,33743,25610,75.9,2041,33,2008
Monroe,13170,10371,78.75,937,12,925
Montville,9850,7286,73.97,552,11,541
Morris,1678,1302,77.59,130,1,129
Naugatuck,18322,12013,65.57,870,15,855
New Britain,33619,21211,63.09,1729,29,1700
New Canaan,13244,10941,82.61,1857,44,1813
New Fairfield,9683,7190,74.25,720,10,710
New Hartford,4580,3895,85.04,336,9,327
New Haven,71978,44973,62.48,3784,78,3706
New London,13904,8164,58.72,997,39,958
New Milford,18919,13334,70.48,1077,32,1045
Newington,19081,14581,76.42,1176,15,1161
Newtown,17110,14404,84.18,1431,8,1423
Norfolk,1164,920,79.04,120,0,120
North Branford,9097,6990,76.84,543,10,533
North Canaan,1998,1300,65.07,193,1,192
North Haven,15819,12507,79.06,975,23,952
North Stonington,3766,2719,72.2,242,6,236
Norwalk,6163,4623,75.01,453,5,448
Norwich,20999,13006,61.94,1388,10,1378
Old Lyme,6274,4556,72.62,573,7,566
Old Saybrook,7735,5918,76.51,797,66,731
Orange,10386,7984,76.87,852,16,836
Oxford,8722,6583,75.48,466,4,462
Plainfield,8885,5386,60.62,338,4,334
Plainville,10729,7891,73.55,457,26,431
Plymouth,7749,5399,69.67,408,4,404
Pomfret,2763,2161,78.21,181,4,177
Portland,6096,4869,79.87,522,6,516
Preston,3382,2347,69.4,215,0,215
Prospect,6373,5187,81.39,353,2,351
Putnam,5244,3181,60.66,277,14,263
Redding,7057,5388,76.35,777,15,762
Ridgefield,15711,14048,89.42,2066,45,2021
Rocky Hill,11888,9395,79.03,899,37,862
Roxbury,1719,1477,85.92,218,3,215
Salem,2801,2134,76.19,202,1,201
Salisbury,2973,2220,74.67,440,5,435
Scotland,1118,844,75.49,45,1,44
Seymour,9666,7224,74.74,481,1,480
Sharon,1778,1460,82.11,256,2,254
Shelton,24550,18835,76.72,1549,35,1514
Sherman,2714,1825,67.24,296,7,289
Simsbury,16532,13842,83.73,1717,48,1669
Somers,6426,4967,77.3,451,21,430
South Windsor,16129,13547,83.99,1331,12,1319
Southbury,14085,11272,80.03,1317,15,1302
Southington,28226,21577,76.44,1712,11,1701
Sprague,1787,1420,79.46,96,3,93
Stafford,7574,5785,76.38,397,15,382
Stamford,66047,47289,71.6,4881,84,4797
Sterling,2118,1411,66.62,80,5,75
Stonington,12757,9924,77.79,1130,30,1100
Stratford,32672,23283,71.26,1917,110,1807
Suffield,8681,7248,83.49,721,9,712
Thomaston,4989,3792,76.01,288,15,273
Thompson,5330,4061,76.19,318,7,311
Tolland,9696,8045,82.97,597,10,587
Torrington,19624,14253,72.63,1445,27,1418
Trumbull,24652,18967,76.94,1972,41,1931
Union,622,518,83.28,33,0,33
Vernon,16209,12905,79.62,1342,23,1319
Voluntown,1672,1224,73.21,78,1,77
Wallingford,25759,21105,81.93,2025,35,1990
Warren,994,834,83.9,66,0,66
Washington,2447,2162,88.35,323,3,320
Waterbury,57727,32449,56.21,2702,107,2595
Waterford,13263,9966,75.14,1076,12,1064
Watertown,14782,10865,73.5,774,43,731
West Hartford,40156,32451,80.81,3890,61,3829
West Haven,29266,20435,69.83,1826,28,1798
Westbrook,4396,3574,81.3,369,12,357
Weston,6811,5536,81.28,863,10,853
Westport,18495,15111,81.7,2486,112,2374
Wethersfield,17939,13809,76.98,1100,7,1093
Willington,3645,2796,76.71,188,5,183
Wilton,11883,10168,85.57,1459,17,1442
Winchester,7046,4740,67.27,364,3,361
Windham,13880,7895,56.88,647,4,643
Windsor,20644,15945,77.24,1380,16,1364
Windsor Locks,7467,5770,77.27,492,19,473
Wolcott,11174,8341,74.65,584,16,568
Woodbridge,6583,5723,86.94,776,10,766
Woodbury,7511,5621,74.84,614,10,604
Woodstock,5359,4254,79.38,391,9,382
